id,slug,name,description
310,fun-fifteen,Fun Fifteen,🫀 Do your favorite cardio for at least 15 min per day . Daily 15 min of cardio is like taking an anti-depressant for six months. Inspired by Shawn Achor (Happiness Researcher) 5 Daily Habits That Will Make You Happier Immediately  | Habit #3
311,beware-of-almost,Beware Of Almost,"🏁 Only done is done. No one gets a commission for a deal they almost closed. Celebrate, but only when everything is done and dusted. Celebrate"
312,kind-card,Kind Card,"✍️ Praise or thank one person every day . For 21 days, spend two minutes each morning writing a positive note, email or text. Do it for a different person every day. If you want to feel good, make someone else feel good. Watch (2 min) How To Make People Feel Good | Simon Sinek"
313,gratitude-hat-trick,Gratitude Hat Trick,"🙏 Every day, write down three things you’re grateful for. For 21 days, spend two minutes a day scanning the world for three new things you’re grateful for. This activity trains your brain to scan the world in a new pattern. Train yourself to scan for positives, instead of threats."
314,wabi-sabi,Wabi Sabi,"✨ There is beauty in the changing and the imperfect . Celebrate imperfection, impermanence, and simplicity. Find beauty in the ordinary and embrace the authenticity of objects and experiences. ----wabi-sabi,” which highlights beauty in the changing and the imperfect. The idea is that we should love and value the imperfect and incomplete because such things reflect the beauty of the natural world. For example, the Japanese would place a high value on an irregular or cracked teacup because of its imperfection and incompleteness. If you focus on wabi-sabi, you can be free of worry about how your work will turn out or whether you will accomplish everything you tried to. https://en.wikipedia.org/wiki/Wabi-sabi"
315,black-swan,Black Swan,"🦢 A big, unexpected event . Black swans are surprising because they are deviate from what we know. Whatever idea you have or hear, the opposite may also be true. Keep an open mind. --- Big unexpected events - turkey metaphor , turkey is fed and becomes more and more comfortable until thanks giving evenrything changes based on history man is the best friend but actually not . At the point the turkey is most comfortable it is most likely to be surprised . Focus on the positive - sometimes black swans can be a beautiful surprise like meeting the love of your life"
316,double-delight,Double Delight,"🔁 Remembering happy moments recreates happiness . Your brain can’t tell the difference between visualisation and actual experience . Take one positive experience from the past 24 hours. Spend 2 minutes writing down every detail about that experience. As you remember it, your brain labels it as meaningful and deepens the imprint. It’s a double-dose of daily happiness. Watch (2 min) The Power of the Mind - Oprah Winfrey and Deepak Chopra . Read (3 min) Psychology Today The Benefits of Reliving Your Happy Memories"
317,check-your-shed,Check Your Shed,"🛖 Check Your SHED 😴 Sleep 💧Hydrate 🏋️ Exercise 🍏 Diet . Make sure you take care of your SHED every day 😴 Get enough sleep every night 💧 Stay hydrated (see drink) 🏋️ Move your body, go for a walk 🍏 Eat healthy . Inspired by Gian Power linkedin posts/gianpower_shed-mentalhealth-wellbeing-activity-7026460275100807169-s0Pj"
318,three-buckets,Three Buckets,"🪣 Every week has 168 hours (3 buckets of 56 hours) . If you work for eight and sleep for eight hours, you only have one bucket left. Decide carefully what you want to do with that bucket  See also 1440 Minutes and The Last Time"
319,just-one-bite,Just One Bite,"🐊 Have just one bite. Try more, eat less. When you don’t feel like trying something new, try just one bite. Maybe you find something new that you really like. One bite helps you appreciate and savour the food. It also keeps you from overeating. Don’t skip dessert. Instead try everything, but just one bite. Sharing many different bites increase variety and makes it more fun to eat."
320,plan-to-fail,Plan To Fail,🧐 Human brains are better at finding problems than solutions. We’re evolutionary designed to find threats. Don’t ask how to live good marriage. List all the ways you would destroy your marriage and then do the opposite of that.
321,stonecutters-credo,Stonecutter's Credo,"🗿 Persistence is the key to success . When nothing seems to help, I go and look at a stonecutter hammering away at his rock perhaps a hundred times without as much as a crack showing in it. Yet at the hundred and first blow it will split in two, and I know it was not that blow that did it, but all that had gone before.  — Jacob Riis . It's often hard to see the progress you're making. Trust in the process and continue chipping away. Things take time . Watch (1 min) Stone Cutting With Ancient Tools"
322,maybe-mindset,Maybe Mindset,"🐴 Parable of the horse // Maybe Mindset - Everything is relativ . Farmer gets a horse - so luck (maybe) then horse leaves so unlucky (maybe) etc… Enjoy the good times be present because darker times will come. In dark times, don’t dispair, know that good times are ahead. Don’t judge too quickly, for you don’t know if the bad event ist actually a blessing in disguise"
323,ichi-go-ichi-e,Ichi-Go Ichi-E,🇯🇵 Treasure uniqueness of each moment - Japanese Idiom. Cherish any event you take part in. No moment in life can be repeated. Even if the same people get together in the same place. It will never be the same. Each moment is always a once-in-a-lifetime experience. ichi-go (one time) // ichi-e (one moment)
324,just-one-shot,Just One Shot,"🎞️ Take only one picture . Next time you are taking a picture, take only one. Look for a good shot, take it and get back into the moment. Often it’s more about the reminder of the moment https://ipoxstudios.com/taking-one-photo-with-william-eggleston/"
325,next-five-minutes,Next Five Minutes,"🏆 Excellence is the next 5 minutes . Excellence is not something in the distant future it’s now. It’s the next conversation, the next interaction, writing a thank you card . https://youtu.be/9FemFVIHDps?t=15"
326,one-day-one,(One) Day One,"🗓️ Focus on day one instead of one day . Turn whatever you think you wanna do “one day” into a tiny thing you can start doing today. What tiny thing could you do every day, that could add up to you becoming that kind of person or accomplishing that big goal? Whether it’s: reading 3 paragraphs, doing 3 push ups, writing for 3 minutes, or doing 3 acts of service, …pick something stupid-simple that almost can’t fail. (It all adds up) Plan when and where you’ll do it each day, then start today - NOT tomorrow. Happy Habit (tomorrow)"
327,focus-flow,Focus Flow,"🪷 Where focus goes, energy flows . When we focus things we regret, such as failed relationships, family disputes, and setbacks in career and finance, we tend to become more regretful. Conversely, when we focus on the things we are grateful for, a greater sense of happiness tends to pervade our lives."
328,give-to-gain,Give To Gain,"🫡 You gain respect by giving it . Make a short list of things done to you that you hate. Don’t do them, ever. Make another list of things done to you that you love. Do them always. https://www.youtube.com/watch?v=v-DYHdxcAw8"
329,20-seconds,20 Seconds,"⏱️ Make bad behaviour more annoying to do . If you don’t want to watch television, remove the batteries from the remote control and put them in the other room. Even though it will only take 20 seconds to get them, your brain will be less likely to do it . https://youtu.be/FOzc-4lDfOQ?t=6"
330,tetris-effect,Tetris Effect,"🎮 Train your brain to look for positive things . When you practice positive habits such as the ""doubling effect"" or ""Gratitude"" your brain starts scanning the world for things to be grateful for and the happier you become . https://www.youtube.com/watch?v=ae-ypgdd5-8&t=21s"
331,set-dont-say,Set Don't Say,🤫 Keep your goals to yourself . Telling someone your goal makes it less likely to happen. The social psychology tricks your mind into thinking its already done and you're less likely to do it. Your mind mistakes talking for doing. So state your goals in a way that gives no satisfaction. Make sure your mind knows there's work ahead. https://www.youtube.com/watch?v=NHopJHSlVo4&t=15s
332,no-fish-love,No Fish Love,"🐟 Beware of fish love . True love is one of giving, not of receiving . If you take a fish out of the water, kill it and eat it, then you don't love fish - you love yourself. Too much of love is fish love. Remember: you love those to whom you give. https://www.youtube.com/watch?v=AVjRuM7Rong&t=6s"
333,four-words,Four Words,💭 What do you think? This means you value the other persons opinion. You want to hear what they have to say. Keep a scorecard and try and engage as much as possible https://www.youtube.com/watch?v=aOoy7QavONQ&t=33s
334,right-now-list,Right Now List,"📝 Trick your inner procrastinator . Write down 3 things you need to do right now to get started on your project. Make the tasks extremely easy to prevent your inner procrastinator from objecting. For example: 1) Find doc I was working on 2) Find where I I left off 3) write one sentence . Once you get started, it will be easy for you to get going"
335,think-wait-fast,"Think, Wait, Fast","💬 ""I can think. I can wait. I can fast."" - Siddhartha Everyone can perform magic, everyone can reach his goals, if he is able to think, if he is able to wait, if he is able to fast. — Siddhartha, Hermann Hesse Think . Turn Daydreams into Achievable Goals. Thought and planning are essential for progress. Wait. Big goals require time and patience. Focus on daily progress and reflect on achievements. Fast. Temporarily Go Without. Fasting implies choosing short-term sacrifice for long-term benefit. Read (Free ebook) Siddhartha by Hermann Hesse"
336,300-things,300 Things,✨ Write down 300 things that you desire . Ask and you shall receive but you have to be clear. Our mind is conditioned you will struggle when you get to 70 things. Don’t stop until you have 300. Read them every day. Be specific. A year from now you’ll have at least 30 things https://www.youtube.com/watch?v=DlMAIYd7-J4&t=334s
337,seek-greenlights,Seek Greenlights,"🟢 Greenlights mean go, advance, continue - Matthew McConaughey . Greenlights symbolize affirmation, support, and success in our lives. They align with our desires and enable us to move forward with ease. Sometimes Greenlights are disguised as yellow and red lights. They appear as obstacles or challenges, but they can provide valuable lessons and give us what we need. Red and yellow lights eventually turn green in the rearview mirror. Catching greenlights involves skill, timing, and adaptability. By identifying and overcoming obstacles, we can create our own greenlights through hard work, smart choices, and resilience. - Matthew McConaughey, Greenlights https://greenlights.com/ https://www.linkedin.com/pulse/8-life-lessons-from-greenlights-matthew-mcconaughey-annesha-dutta"
338,flip-m,Flip M,"🔄 Replace ""Me"" with ""We"" to change your world . In relationships, approach a fight as a team. Shift an argument to a shared goal. When fighting as a team, you crush the problem, not your partner. Your partner is not your opponent. Every time one of you loses, you both loose. Every time the problem loses, you both win."
339,life-in-stories-homelife-work,Life In Stories //  (Home)Life Work,"💖 How to remember the most beautiful things in your life. Store more memories - how to have thousands of stories at the end of your life. Every night before you sleep, take five minutes to write down the best story of your day. Just jot down key words. At first they may not be very good. Keep going. Trust the process. With time you will sharpen your Storyteller lens. https://youtu.be/x7p329Z8MD0 Storytelling is a valuable skill. It can help you land a job or a make a sale. Storytelling can break an awkward silence or even get you out of a speeding ticket. Learn storytelling and even improve your memory with homework for life. — Contact him and tell him how much you appreciate him matthewdicks@gmail.com"
340,simple-not-easy,Simple Not Easy,"🏋️ Most things in life are simple (but not easy) . Losing weight is simple. There are countless, proven step by step guides. Making yourself do it is hard. No one feels like going on a diet - you need to force yourself. Do the hard part of following the simple steps."
341,buy-a-ticket,Buy A Ticket,"🎟️ You can’t win if you don’t have a ticket  . A poor man goes to church every day and prays before the statue of a great saint, begging, ""Dear saint-please, please, please...give me the grace to win the lottery."" This goes on for months. Finally, the statue comes to life, looks down at the begging man and says, ""My son-please, please, please...buy a ticket."" You cannot win a game you’re not playing"
342,i-dont-mantra,I Don't Mantra,🙅
343,best-friend,Best Friend,🙆
344,paradox-of-choice,Paradox of Choice,"🤷 The more choices we have the less likely we are to pursue any option. More choice often leads to less action. The more ideas and goals we pursue, the less likely we’ll follow through on any one of them. And vice versa."
345,drink-tea,Drink Tea,"🫖 Black, green, or oolong teas are loaded with powerful antioxidants that strengthen your bones and boost vitamin D levels. Tea is also good for your heart, brain, focus, and even your mood. Read (3 min) The Hidden Health Benefits of Tea"
346,be-an-eagle,Be An Eagle,"🦅 When life is challenging you, go higher . The only bird that dares to challenge the eagle is the crow. The crow sits on the back of the eagle and pecks at it. The eagle does not respond though. It simply flies higher. At some point it becomes too hard for the grow to breathe. It then jumps off. https://youtube.com/watch?v=-nkfj3wk7eg"
347,read,Read,"📚 Especially in biographies, you get the wisdom of a lifetime in a few hundred pages. Seek out great books and biographies to increase your learning. Read (5 min) 6 Strategies That Will Make You A Better Reader And Person https://ideas.ted.com/6-strategies-that-will-make-you-a-better-reader-and-person/"
348,have-get-to,(Have) Get To,"🔄 Replace ""have to"" with ""get to"" and your life will improve immediately 🙏 Trade your expectation for appreciation and life changes in an instant . Trade expectation for appreciation and life changes in an instant. Think of all the things you take for granted every day. The things you would miss if they were gone. Be grateful in the moment. See (Happy Habits) Gratitude Gateway https://www.youtube.com/shorts/eVlqF2M03lc"
349,love-sandwiches,Love Sandwiches,🥪 Offer love sandwiches . Deliver a piece of constructive criticism between two tasty slices of positive feedback. Try (Recommendation) We love the 8AM Daily Newsletter - Get inspiration and growth hacks in just 20-seconds per day! https://www.youtube.com/shorts/7NWRhAR50Po
350,whats-enough,What's Enough?,"🧐 What's your definition of ""enough""? Enough is never enough for the person for whom enough is too little - Epicurus If you tell yourself you'll be happy when... then you'll never be happy. The finish line will keep moving. Define and reach a place of 'enough.' When you can say, “What I have is good, and everything else is extra,” your life will be amazing."" --- You can only chase what you know. Most people don't even know and end up living in perpetual misery. https://www.instagram.com/reel/CiGlakOgLZ_/"
351,love-to-finish,Love To Finish,"🥰 Fall in love with the art of finishing . Falling in love with starting is easy. Falling in love with finishing is hard. Fall in love with the art of finishing — and the process of overcoming adversity, failures and working around obstacles — and you’ll consistently follow through on your ideas. See (Happy Habits) Done Beats Perfect ---- Falling in love with starting is easy. Falling in love with finishing is hard. If you learn to fall in love with the art of finishing—and the process of overcoming adversity, failures and working around obstacles—you’ll consistently follow through on your ideas. https://www.mayooshin.com/5-things-to-do-too-many-ideas"
352,feed-ducks,Feed ducks 🦆,It’s hard to know when seeing a kid feed ducks who is happier. Find things in life where giving is just as satisfying as receiving. Feed more ducks . Find video of kid feeding ducks
353,find-the-bone,Find The Bone,"🦴 Dogs find bones by searching in the general area, going zigzag until they find them. When starting something new, explore the area, go zigzag until you find what you are looking for, and then narrow in. See (Happy Habits) Wide vs. Deep"
354,positive-gossip,Positive Gossip,"👏 Compliment people behind their back; it will come back to you . Whenever you feel like gossiping, gossip positively. If you talk about other people behind their back, talk only positively about them."
355,5-year-future,5 Year Future,✍️ Write down your perfect day 5 years from today . Write down exactly what your perfect day would look like. Don’t hold back. Write in as much detail as possible. Revisit your writing once a year. You’ll be surprised by how much will have come true. Watch (2 min) Who Do You Want To Be in 5 Years | Debbie Millman https://www.youtube.com/watch?v=Hg87NdpB7XI&t=12s
356,three-decisions,Three Decisions,"☘️ The quality of your life at any moment depends on how you choose to answer the following  three questions: What are you focussing on? What does it mean? What are you going to do now? Example You're on a road trip with your family, and 20 minutes into the journey, you experience a flat tire. Is this a tragedy because the trip is delayed, or a blessing because everyone is safe? Do you allow anger to take over and let it ruin the day, or do you turn it into an adventure? The choice is always yours. Focus = Feeling ☝️ The quality of your life at any point in time depends on three decisions . Explain flat tire - is this a tragedy or a blessing we are all safe // do you get angry or make an adventure out of it. (1) What are you focussing on (because focus = feeling) (2) What does it mean? // good or bad that triggers an emotion (3) What are you now going to do?"
357,find-the-fun,Find The Fun,"🍭 A spoon full of sugar helps the medicine go down https://www.youtube.com/watch?v=HrnoR9cBP3o There are always ways to make something fun. Seek that out. Focus on that. If you decided to do something, might as well do it in a fun manner. If it’s not fun - make it so. Was playing tennis and heißer ball is fun version"
358,two-wolves,Two Wolves,"🐺 We all have two wolves inside of us . Both fear and faith are products of the imagination. The difference is: fear is undirected and grows like weeds, while faith requires intentional choice. Be intentional. Feed faith, not fear. Watch (3 min) The Native American Legend Of Two Wolves"
359,100-nos,100 No‘s,"🤷 No only means no. Not more, not less. Reduce fear of rejection by normalising No. Try getting 100 nos either different ones or the same one with different people . First No - go to Starbucks and ask for a free coffee . Use rejection theory to overcome fear and doubt. Sometimes, just ask why https://m.youtube.com/watch?v=-vZXgApsPCQ&feature=youtu.be"
360,three-gates,Three Gates,"☘️ Before you speak, let your words pass through three gates. At the first gate, ask yourself, ""Is it true?"" At the second gate ask, ""Is it necessary?"" At the third gate ask, ""Is it kind?"""
361,tonight,Tonight,"🌙 Before committing to something in the future, ask yourself, if this was tonight, would you still do it? If you’re asked to help a work colleague move apartment next week - would you be as willing to say yes if they asked about tonight . This helps you -- Kevin Kelly / Danny Meyer"
362,100-hours,100 Hours,"⏳ If you want to grow, develop or excel in a certain area, 18 minutes is all it takes. If you focus for 18 minutes per day you will have spent 100 hours in one year working on a specific habit or skill. Say you want to take up knitting 🧶 Commit to knitting 18 minutes every day. After one year you will have spent 100 hours building that skill and habit https://www.instagram.com/reel/CqlXFJQgLKe/?igshid=YmMyMTA2M2Y="
363,help-hear-hugg,Help Hear Hugg,💁
364,poetry-therapy,Poetry Therapy,"💕 Poetry therapy helps you access what is alive in you . All you need is a pen, a piece of paper and an open heart. When you're ready, pour your heart onto the page. Don't think, just feel. https://www.youtube.com/watch?v=7BC7Plt-R0o&t=16s"
365,family-meals,Family Meals,"🍱 Schedule one day per week for family meals. Create a tradition. Maybe each person tells one story or is responsible for one dish. Be creative. Make it uniquely yours. Make sure there’s no distraction. It’s a time to bond and share with your loved ones. --- Have regular family meals - opportunity for everyone to come together , dine and connect // no distractions / no screens // make it a tradition Quality beats frequency // make it special, create a tradition - maybe everyone cooks one dish or tells one story"
366,talk-to-strangers,Talk To Strangers,"🎙️ Talk to strangers. Make unexpected connections. Make beautiful interruptions into the expected narrative of your day and theirs . Low Risk talking points: Ask about their shoes, they are neutral in terms of compliments. Use Dog and Baby principle: talk directly to their dog or baby and see if they want to interact https://www.youtube.com/watch?v=rFpDK2KhAgw"
367,action-cures-fear,Action Cures Fear,"👹 An ounce of action can cure a ton of fear . Stress primarily comes from not taking action on things that you could take actions on. The time you spend being afraid of getting hurt could be spent on taking actions to ensure you don’t get hurt. Watch (1 min) Do You Have a Problem, Why Worry? ---- The time you spend thinking about going to the gym could have been spent at the gym working out. https://www.youtube.com/watch?v=8neMEh72fgY https://www.youtube.com/watch?v=SQHmeRIhNtw&t=18s"
368,thank-you-me,Thank (You) Me,"🙏 Always remember to thank yourself. Appreciate the work you have done. And celebrate it . See Snoop Dogg Getting Star On Hollywood Walk Of Fame, thanking everyone, but most of all himself  💡 dude shaking his own hand or high fiving a mirror or dude in the mirror clapping for the dude or mouse https://youtube.com/shorts/a7q_ABH7C7A"
369,true-wealth,True Wealth,"🌅 How to really measure your wealth . Measure your wealth by the things in your life that money can't buy. Count the things you wouldn't trade for anything in the world. Think about your health, family, friends, or beautiful experiences. This week, make an effort to enjoy at least two sunsets. Measure your wealth by the things in your life that money can't buy. Count the things you wouldn't trade for anything in the world. Think about your health, family, friends, or beautiful experiences. This week, make an effort to enjoy at least two sunsets. Invitation (50 min) How to listen and be heard - The Gift Of Listening ----- Measure your wealth not by the things money can buy, but by the things money can’t buy. Count the things you wouldn’t trade for anything in the world. Think about experiences, friendships, or meaningful conversations you've had. Count the number of sunsets you get to enjoy this week. Measure your wealth not by the things money can buy but by the things no money can buy. Those can be experiences, poems you have written that you are proud of or meaningful conversations you've had. Count how many sunsets you have been able to enjoy this week"
370,sharing-rule,Sharing Rule,"🍰The sharing rule . When two people are sharing, one person divides and the other one chooses. Schwein zwei hälften von Bretzel und maus sucht aus?"
371,bad-news-first,Bad News First,"🗞️ Always give the bad news first . If you have good news and bad news, give the bad news first. People remember how things end more than how they begin. Elevate the ending with good news"
372,r3-apology,R3 Apology,"🤲 How to truly apologise . When apologising, convey three Rs. Empathise with the other (regret). Don't blame someone else (responsibility). And be willing to fix it (remedy). Listening (50 min) Want to feel deeply listened to? Try a Listening Sessions"
373,take-two-trips,Take Two Trips,"🛒 When in doubt, take two trips. If you have the any doubt about being able to carry a load in one trip, do yourself a favour and make two trips. Better to walk back to the car than to drive back to the store because you dropped the eggs. Listening (50 min) Want to feel deeply listened to? Try a Listening Sessions --- If you have any doubt at all about being able to carry a load in one trip, do yourself a huge favor and make two trips."
374,only-play,Only Play,"🤗 Don't Do Anything That Isn't Play. If you don’t feel good about something, stop. Ask yourself, “am I doing this out of fear, shame, guilt, anger, duty, or obligation?” When we want to make life wonderful for others and ourselves, then even hard work has an element of play in it. At the same time, a fun activity done out of obligation, duty, fear, shame or guilt will lose its joy. Watch (2 min) Marshall Rosenberg’s Cooking Example"
375,six-blind-mice,Six Blind Mice,"🐘 … and an elephant . Six blind mice examine an elephant… The first mouse touches the trunk and says that the elephant is like a snake. The second mouse touches the tusk and says that the elephant is like a spear. The third mouse touches the ear and says that the elephant is like a fan. The fourth mouse touches the leg and says that the elephant is like a tree. The fifth mouse touches the side and says the elephant is like a wall. The sixth mouse touches the tail and says the elephant is like a rope. Each mouse is certain that it is right, and that everyone else is wrong. The lesson Don't attribute to malice, ignorance, or stupidity what can be explained by different information. ---- What have you changed your mind on recently?Egocentric Bias says that we convince ourselves of the accuracy of our own personal perspective and therefore struggle to acknowledge any perspectives or data that may alter our understanding of the world. The parable of The Blind Men and The Elephant tells the story of six blind men who examine one part of an elephant and each come to very different conclusions on what an elephant is. They are all partly right, but also all entirely wrong. The information you have about the world represents a tiny fraction of the information available, yet you use it to form a view of how the world works. Remember the Blind Men Razor: ""Never attribute to malice, ignorance, or stupidity that which can be adequately explained by different information."" Six blind men are brought to examine an elephant that has come to their village. The first man touches the trunk and says that the elephant is like a thick snake. The second man touches the tusk and says that the elephant is like a spear. The third man touches the ear and says that the elephant is like a fan. The fourth man touches the leg and says that the elephant is like a tree. The fifth man touches the side and says the elephant is like a wall. The sixth man touches the tail and says the elephant is like a rope. Each of the blind men is convinced that he is right, and that everyone else is wrong. https://youtu.be/bJVBQefNXIw https://www.sloww.co/blind-men-elephant/"
376,sleep-test,Sleep Test,"🌙 Next time you fight ... When you disagree or fight with a partner, don't use logic. Use the sleep test.  Ask, who's emotionally more invested? Go with their way. Say we go with my way and you can't sleep tonight. If my way turns out to be wrong, you will have suffered and the decision was wrong. When it's a deadlock, ask who won't be able to sleep tonight. You can often adjust later."
377,the-feeling-after,The Feeling After,"🍩 Focus on the feeling after ... Many things that are good for you feel bad before but great after. For example, an early morning run. Similarly, many things that are not good for you feel great before but terrible after. Like eating ten donuts in one go. Lesson When in doubt, ask yourself, ""How will I feel afterwards?"""
378,lollipop-trick,Lollipop Trick,"🍭 If your solution doesn’t work, reframe the problem - The Canadian police faced issues with rowdy clubbers causing disturbances in the streets. They tried everything from closing clubs early to increasing police shifts. Nothing worked. Until they introduced the lollipop initiative. Handing out free lollipops to the clubbers. Now the clubbers had their mouths busy. Shouting and vandalising stopped. The issue disappeared over night. Lesson When conventional logic doesn’t work, reframe the problem. ---- Canadian police dealt with rowdy clubbers causing disturbances in the streets every weekend. - Traditional approaches like early club closures and increased police shifts failed to address the problem effectively. - The police introduced a solution by distributing free lollipops to clubbers, keeping them occupied and reducing incidents significantly. drunk clubbers waited for taxis or buses to go home after leaving a club. And they had nothing to do while waiting. So they spent their excessive energy from alcohol shouting and vandalizing the streets. Clubbers were hungry after drinking and dancing for hours. They happily took the free lollipops. Now their mouths were busy. So they couldn’t shout. That meant fewer bravados that led to street fights. And no more vandalism as they were focused on lollipops. So the problems on that street magically disappeared overnight. Lollipops cost a few cents each. And it was nothing compared with the savings from reduced police shifts and vandalism. Instead of trying to solve a problem with conventional logic, you reframe the problem."
379,think-twenty-years,Think Twenty Years,"🌱 You reap what you sow . Ask yourself, ‘Which decision today is going to be best for our relationship in 20 years?’ Prioritising work over loved ones may seem “right” in the moment, but may not be the best decision in the long run. Examine your relationships and the choices you’re making. When in doubt, “Think Twenty Years“ ----- 🤝 Build long-lasting relationships . Ask yourself, ‘Which decision today is going to be best for our relationship in 20 years?’ Prioritising work over loved ones may seem “right” in the moment, but may not be the best decision in the long. Examine your relationships and the choices you’re making. When in doubt, “Think Twenty Years“ ---- Relationships create community. And embracing community helps us live healthier, happier and longer lives. Build long-lasting relationships, both in your work and in your personal life. Ask yourself, ‘Which decision today is going to be best for our relationship in 20 years?’  Read (5 min) 80 Years Harvard Study - How To Live a Healthy And Happy Life --- Build healthy relationships.  Ask yourself, ""Which decision today is going to be best for our relationship in 20 years?"" How will we both feel when we look back at this situation. ----- A beautiful little fool. She used to be . She'd like to be . Maybe, maybe even deserved to be . In a world of harshness. A world of grief. A world of pain. A fool. Uninhibited. Free. Not a care in the world. Not a thought to spare. A beautiful little fool. Now old. Not wise. Smart. Not kind. Loving, in words. With heart. But no feeling. Empty full words. Heavy words with no weight. No substance. No meaning. Just words. Intentions. No actions."
380,build-bus-friendships,Build Bus Friendships,"🚌 Build And Cherish Bus Friendships ""Lots of people want to ride with you in the limo, but what you want is someone who will take the bus with you when the limo breaks down."" - Oprah Winfrey . Your real friends are there for you when you have nothing to offer in return.  Cherish them. Who are your bus friends? Reach out to them! Use (Happy Habits) Gratitude Gateway"
381,quality-beats-quantity,Quality Beats Quantity,"💎 More Isn't The Point. Better Is. When it comes to food, work, and relationships, choose ‘better’ rather than ‘more’. For example, if you want to follow a healthy diet, focus on what you eat rather than how much you eat. When in doubt, opt for better, not for more. --- Work , relationship , food Rather think what you eat as opposed to how much Wonder bread stays soft for months in a room. If bacteria won’t eat it, why would you? Drop extremists view and any food invented in the last 100 years The more processed the food the less you should consume -More isn’t the point. Better is."
382,yesterday-is-heavy,Yesterday Is Heavy,"🪨 ... Put It Down Let go of yesterday’s anger, shame or sadness. It weighs on you and takes you out of the present moment. The past is past. It can guide and instruct you, but it doesn't define you. And it doesn’t determine your future. Whatever you’re dealing with, remember: If you can change it, change it. If you can’t, learn from it and move on. ----- Carrying yesterday’s sadness, anger or shame weighs on you. It takes you out of the present moment.   The past is past. It can guide and instruct you, but it doesn't determine your future or define you.   Whatever you’re carrying: If you can change it, change it. If you can’t, learn from it and move on. ---- Stop focusing on the past. The past is past. Focusing on it takes us out of the present moment and reduces our ability to plan for the future. The past can guide and instruct us. But it doesn't determine our future or define us. If you can change it, change it. If you can’t, learn from it and move on. Use (Happy Habits) List Of Learnings ----— put it down. Stop focusing on the past, what happened last month or last year. The past is done. It cannot be changed. Focusing on it too much can be dangerous because it's not within our circle of control. The past can guide and instruct us, but it doesn't determine our future or define us. Focusing on it too much takes us out of the present moment or our ability to plan for the future."
383,accept-or-change,Accept Or Change,"😇 If You Can't Change It, Accept It. Be calm enough to accept the things you cannot change. Be courageous enough to change the things you can. And be wise enough to know the difference. The sooner you accept a given situation, the sooner you can adapt and grow."
384,priority-makes-time,Priority Makes Time,"💞 Make Your Actions Reflect Your Priorities. Rephrase 'I don’t have the time' to 'It’s not a priority,' and think about it again. It's a more accurate reflection. If you say, 'I don’t have time to call my loved ones,' you're saying 'Calling my loved ones is not a priority.' Next time you 'Don't have time,' ask yourself, 'Is this a priority’? --- Rephrase I don’t have the time to it’s not a priority and think about it again. This is a more true reflection. If you say I don’t have the time to call my parents it diminishes the responsibility/ you have no agency. How does it feel to say it like that --- If you say, 'I don’t have the time to visit my loved ones,' you're not responsible. But what you are actually saying is 'visiting my loved ones is not a priority.' Rephrase 'I don’t have the time' to 'It’s not a priority,' and reconsider. It's a truer reflection."
385,not-what-that,"Not what, that","🚲 'What' Isn't The Point When it comes to working out, the point is not WHAT you do. The point is THAT you do something every day. Consistency matters! The best work out for you is the one you’re excited enough to do every day! Ask yourself What kind of exercise would you enjoy doing the rest of your life? --- When it comes to working out, the point is not what you do the point is that you do something every day. Consistency matters. The best work out for you is the one you’re excited enough to do every day"
386,six-word-memoir,Six Word Memoir,"🪧 Your Story In Six Words To get to the essence of who you are and what matters most, tell the story of your life in six words. ---- Hit reply and share your six word memoir Read six word memoirs https://www.sixwordmemoirs.com Watch (14 min) Larry Smith's Six Word Project https://youtu.be/TvdAb0_AmmE?t=8 --- Legend has it that Ernest Hemingway won a bet by writing the six-word story “For sale: baby shoes. Never worn.” The idea is to capture the essence in six words only. Get to the essence of who you are and what matters most. Write the story of your life in six words. ____ is everything. Fill in the blank. https://www.sixwordmemoirs.com/story/?did=1312718 Getting older. Words have more meaning. https://www.sixwordmemoirs.com/story/?did=1312714"
387,third-door,Third Door,"🚪There’s Always A Third Door. Life is like a nightclub. There’s the main door where everyone is queuing. The line is long and you might not get in. There’s the backstage door. There’s no line but you need special access. And then there’s the third door. You go down the alley, climb a wall, jump over a dumpster and enter through the kitchen. Whenever you’re going after something, ask yourself: where is the third door?"
388,treadmill-vs-sofa,Treadmill vs Sofa,"👟 Treadmill Friends vs Sofa Friends. Treadmill Friends - after meeting them you have so much energy, you want to run on a treadmill to calm down. Sofa Friends - after meeting them you feel so drained, you want to lie down and recover. Avoid sofa friends. Double down on treadmill friends."
389,advice-to-self,Advice To Self,"🎓 What advice would you give yourself. What advice would you give your younger self? Think about the lessons you've learned and about the lessons you're still learning. If you'd tell your younger self to invest in yourself, ask: Are you currently investing in yourself? If not, why not?"
390,let-shells-break,Let Shells Break,"🐣 Let The Chicken Break Its Shell. For a chicken to hatch, it needs to break its shell. If the shell is broken for it, it will die. You may see the chicken struggle, and you may want to help. But helping will kill the chicken. The Lesson Sometimes help can hinder growth. Allow others to figure things out for themselves. Give them the chance to learn and grow."
